id,region,city,school,grade,class,name,code,math_problem_solving,math_reasoning,math_communication,math_info_processing,math_creative,math_attitude,social_citizenship,social_decision,social_communication,social_info,social_critical,science_lifelong,science_communication,science_problem_solving,science_inquiry,science_logical
1,경기,파주,금신초등학교,6,4,김시현,test6401,5,8,10,3,2,3,5,8,7,1,2,8,8,3,8,2
2,경기,파주,금신초등학교,6,4,김하윤,test6402,8,8,10,5,6,8,4,3,4,9,8,2,5,10,4,8
3,경기,파주,금신초등학교,6,4,김현중,test6403,7,6,8,1,8,3,1,10,5,9,6,9,4,8,3,10
4,경기,파주,금신초등학교,6,4,김희주,test6404,3,4,2,5,6,6,6,1,2,5,7,2,2,8,2,7
5,경기,파주,금신초등학교,6,4,박소희,test6405,4,7,8,7,6,5,1,2,4,8,7,10,2,5,5,1
6,경기,파주,금신초등학교,6,4,서용준,test6406,10,10,8,3,8,4,1,8,10,6,4,2,7,3,1,3
7,경기,파주,금신초등학교,6,4,송연우,test6407,5,10,9,5,2,4,8,4,6,2,1,9,4,6,4,6
8,경기,파주,금신초등학교,6,4,안병훈,test6408,2,5,7,10,8,8,6,8,5,4,7,5,10,3,1,5
9,경기,파주,금신초등학교,6,4,여소영,test6409,2,10,4,5,2,10,7,10,3,8,4,4,9,10,10,10
10,경기,파주,금신초등학교,6,4,오윤서,test6410,6,5,4,9,8,6,5,8,10,8,5,3,10,4,9,1
11,경기,파주,금신초등학교,6,4,유하은,test6411,5,3,8,10,6,3,2,8,6,9,3,1,5,2,5,9
12,경기,파주,금신초등학교,6,4,윤진서,test6412,8,9,4,9,9,2,5,3,3,2,8,5,4,5,7,4
13,경기,파주,금신초등학교,6,4,이건우,test6413,7,2,4,2,9,8,7,5,8,5,5,5,9,2,4,9
14,경기,파주,금신초등학교,6,4,이건희,test6414,3,2,10,5,8,9,7,7,2,1,3,3,7,10,2,5
15,경기,파주,금신초등학교,6,4,이서희,test6415,3,7,6,7,9,7,8,1,3,9,2,8,1,7,9,7
16,경기,파주,금신초등학교,6,4,이재건,test6416,1,8,3,8,10,3,10,4,2,9,2,3,8,8,6,3
17,경기,파주,금신초등학교,6,4,정우성,test6417,10,7,1,5,8,1,3,2,1,8,7,2,6,5,5,8
18,경기,파주,금신초등학교,6,4,정준영,test6418,8,4,2,4,2,7,8,7,4,4,4,7,9,3,1,10
19,경기,파주,금신초등학교,6,4,정현정,test6419,4,10,7,5,8,8,5,2,7,8,9,9,3,7,5,8
20,경기,파주,금신초등학교,6,4,홍지아,test6420,2,7,4,3,10,6,3,4,6,4,9,7,6,5,6,2
21,경기,고양,성사초등학교,6,1,김고양,test1234,3,2,1,2,0,0,5,5,10,10,1,9,3,7,9,4
22,경기,의정부,녹양초등학교,6,1,이버들,test1234,3,3,5,1,10,2,3,10,1,5,1,1,4,1,4,2
23,경기,의정부,호원초등학교,6,1,이호원,test1234,3,2,9,6,9,7,7,1,1,10,5,5,1,4,2,2
24,경기,파주,금촌초등학교,6,1,김금촌,test1234,1,8,5,10,4,3,2,9,1,10,8,7,5,5,2,2
24,경기,파주,금신초등학교,6,1,김금신,test1234,10,1,7,7,2,8,10,9,10,7,3,3,9,8,10,4
